Movie Name,Rating,Runtime,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Genre_War,Genre_Western
A Clockwork Orange,8.3,136,77.0,849296,6207725,tt0066921,1,3.072555,7.7,1971,11847428.81,143186947.6,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Toy Story,8.3,81,96.0,1020749,132142175,tt0114709,1,4.282462,7.5,1995,42929006.01,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Once Upon a Time in America,8.3,229,75.0,361066,5321508,tt0087843,1,1.689163,7.9,1984,62971261.18,71904401.14,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Braveheart,8.3,178,68.0,1057222,75600000,tt0112573,1,2.533323,7.5,1995,78760466.20075,165524556.362,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Reservoir Dogs,8.3,99,81.0,1044849,2832029,tt0105236,1,4.586426,7.9,1992,1864829.106,22783560.47,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Star Wars: Episode VI - Return of the Jedi,8.3,131,58.0,1079686,132142175,tt0086190,1,4.828854,7.8,1983,70824243.13,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Up,8.3,96,88.0,1072145,132142175,tt1049413,1,4.908902,7.6,2009,78760466.20075,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lawrence of Arabia,8.3,218,100.0,301728,44824144,tt0056172,1,1.168767,7.5,1962,78760466.20075,165524556.362,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Toy Story 3,8.3,103,92.0,856973,132142175,tt0435761,1,2.711136,7.5,2010,78760466.20075,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
To Kill a Mockingbird,8.3,129,88.0,322670,322670,tt0056592,1,0.810805,7.7,1962,14416897.76,94645823.68,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Sting,8.3,129,83.0,269965,132142175,tt0070735,1,0.863156,7.7,1973,27011377.68,165524556.362,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
The Apartment,8.3,125,94.0,186966,18600000,tt0053604,1,0.947307,7.9,1960,22118902.37,165524556.362,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Judgment at Nuremberg,8.3,179,60.0,80150,80150,tt0055031,1,0.538364,6.7,1961,21884583.62,72948612.08,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Cat City,8.3,96,64.54545454545455,10365,10365,tt0179955,0,0.19577,8.0,1986,3451350.606,1100009.1155,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Khosla Ka Ghosla!,8.3,135,56.58610567514677,24450,26472,tt0466460,0,0.001115,6.8,2006,8483911.074,13166226.24,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Jurassic Park,8.2,127,68.0,1016279,132142175,tt0107290,1,2.204926,7.4,1993,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Indiana Jones and the Last Crusade,8.2,127,65.0,773288,132142175,tt0097576,1,3.536655,7.4,1989,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Wolf of Wall Street,8.2,180,75.0,1467644,116900694,tt0993846,1,4.877927,7.9,2013,78760466.20075,165524556.362,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Taxi Driver,8.2,114,94.0,866500,28262574,tt0075314,1,2.582657,7.8,1976,4981207.437,108293649.1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Shutter Island,8.2,138,63.0,1364752,128012934,tt1130884,1,3.176169,7.6,2010,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
No Country for Old Men,8.2,122,92.0,1003767,74283625,tt0477348,1,2.730114,7.6,2007,26291714.57,165524556.362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
The Thing,8.2,109,57.0,439767,13782838,tt0084787,1,2.355353,7.5,1982,22596424.03,31144285.17,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
The Truman Show,8.2,103,90.0,1120022,125618201,tt0120382,1,4.18054,7.6,1998,78760466.20075,165524556.362,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Casino,8.2,178,73.0,536007,42438300,tt0112641,1,1.552666,7.6,1995,74410277.09,165524556.362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Batman Begins,8.2,140,70.0,1506388,132142175,tt0372784,1,5.400826,7.3,2005,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kill Bill: Vol. 1,8.2,111,69.0,1142827,70099045,tt0266697,1,6.174132,7.6,2003,35560579.34,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Snatch,8.2,102,55.0,875553,30328156,tt0208092,1,2.153361,7.5,2000,12662921.14,105808674.4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
A Beautiful Mind,8.2,135,72.0,951840,132142175,tt0268978,1,2.169826,7.5,2001,73889287.0,165524556.362,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Unforgiven,8.2,130,85.0,421612,101157447,tt0105695,1,0.84158,7.5,1992,21756339.56,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Finding Nemo,8.2,100,90.0,1068742,132142175,tt0266543,1,3.440519,7.4,2003,78760466.20075,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
There Will Be Blood,8.2,158,93.0,603537,40222514,tt0469494,1,2.04262,7.8,2007,26291714.57,80117737.45,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Sixth Sense,8.2,107,64.0,1012611,132142175,tt0167404,1,2.578731,7.5,1999,52362113.86,165524556.362,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Die Hard,8.2,132,72.0,902720,83008852,tt0095016,1,3.777441,7.2,1988,51628948.65,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
V for Vendetta,8.2,132,62.0,1142355,70511035,tt0434409,1,3.617106,7.6,2005,60294417.64,147956957.2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
L.A. Confidential,8.2,138,91.0,593952,64616940,tt0119488,1,1.123404,7.5,1997,47546111.24,165524556.362,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Chinatown,8.2,130,92.0,335294,8486653,tt0071315,1,1.650848,7.7,1974,26533703.33,132668516.7,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Monty Python and the Holy Grail,8.2,91,91.0,552661,1229197,tt0071853,1,2.234953,7.6,1975,1620728.469,20376397.98,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Great Escape,8.2,172,86.0,249877,12100000,tt0057115,1,0.664326,7.5,1963,28480717.49,35600896.86,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Elephant Man,8.2,124,78.0,248355,248355,tt0080678,1,0.814857,7.6,1980,13230183.76,68825702.12,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
It's Such a Beautiful Day,8.2,62,90.0,14865,14865,tt2396224,0,0.019197,7.9,2012,19392071.575000003,31555208.205,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
My Father and My Son,8.2,112,65.23290203327171,88454,88454,tt0476735,1,0.265008,8.2,2005,19392071.575000003,31555208.205,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
