Movie Name,Rating,Runtime,Genre,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company
Burying the Ex,5.4,89,Comedy,37.0,11211,11211,tt3339674,0,0.472728,5.2,2014,9308100.058,291154.1119,0
Stone,5.4,105,Drama,58.0,42245,1796024,tt1423995,0,0.791799,4.9,2010,22000000.0,9479718.0,0
Head Over Heels,5.4,86,Comedy,27.0,14909,10397365,tt0192111,0,0.421293,5.3,2001,17240833.63,12837610.93,0
Invasion U.S.A.,5.4,107,Action,29.0,10424,17536256,tt0089348,0,0.355653,4.5,1985,6058023.333,18867959.025,0
House II: The Second Story,5.4,88,Comedy,31.0,11820,7800000,tt0093220,0,0.495897,4.8,1987,3446182.289,14968827.42,0
Hatchet II,5.4,85,Action,49.0,14403,62000,tt1270835,0,0.29666,5.1,2010,2500000.0,52604.0,0
Diabolique,5.4,107,Drama,65.23290203327171,14897,17100266,tt0116095,0,0.228483,5.0,1996,19392071.575000003,31555208.205,1
Bulletproof Monk,5.4,104,Action,40.0,51307,23020488,tt0245803,0,0.576335,5.0,2003,61638337.53,28527780.74,0
The Longest Week,5.4,86,Comedy,34.0,12998,12998,tt2064968,0,0.593558,5.1,2014,19392071.575000003,31555208.205,0
The Ex,5.4,89,Comedy,32.0,17751,3091922,tt0458364,0,0.268801,5.0,2006,20680690.165,3344436.667,0
Bad Ass,5.4,90,Action,52.75206611570248,19477,19477,tt1928330,0,0.385121,5.4,2012,19392071.575000003,31555208.205,0
The Hills Run Red,5.4,81,Horror,51.18020304568528,10562,10562,tt0907676,0,0.168316,4.6,2009,16848600.35,9830164.236,0
Darkness,5.4,88,Horror,15.0,19996,22163442,tt0273517,0,0.577778,5.5,2002,4849045.574,177477.4925,0
Excess Baggage,5.4,101,Action,34.0,13886,14327206,tt0119086,0,0.26468,5.4,1997,39577161.13,107263182.8,1
King Ralph,5.4,97,Comedy,56.58610567514677,16557,34002045,tt0102216,0,0.32365,5.5,1991,37722622.19,89565316.505,1
Nine Dead,5.4,98,Crime,63.25908372827804,13895,13895,tt0959329,0,0.210231,5.2,2010,2000000.0,31555208.205,0
What's the Worst That Could Happen?,5.4,94,Comedy,37.0,16322,32095318,tt0161083,0,0.455072,5.1,2001,55416965.25,28527780.74,0
Down to Earth,5.4,87,Comedy,32.0,24366,64186502,tt0231775,0,0.493548,4.7,2001,45999979.76,98965884.825,1
Banshee Chapter,5.4,87,Horror,62.0,10458,10458,tt2011276,0,0.328484,5.7,2013,889231.6851,31555208.205,0
Feeling Minnesota,5.4,99,Comedy,30.0,11342,3102672,tt0116289,0,0.350241,5.6,1996,7388928.7,6828894.982,0
Intruders,5.4,100,Adventure,45.0,20999,69136,tt1634121,0,0.755324,5.2,2011,12602174.55,31555208.205,1
Hush,5.4,96,Drama,18.0,12819,13513622,tt0118744,0,0.266021,5.8,1998,34894673.955,34340989.57,0
Killing Season,5.4,91,Action,25.0,38158,27713,tt1480295,0,0.573206,5.2,2013,10340345.085,37329.94614,0
